"","Hub","ID","Animal.Sex","Animal.Length..m.","Date","Date.Time"
"6461","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 02:47:00"
"6462","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 02:49:00"
"6463","aquaHub-660273","9001-43289","Male",171,2025-09-20,"2025-09-20 02:49:00"
"6464","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 02:50:00"
"6465","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 02:50:00"
"6466","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 02:52:00"
"6467","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 02:52:00"
"6468","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 03:01:00"
"6469","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 03:01:00"
"6470","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 03:03:00"
"6471","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 03:04:00"
"6472","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 03:05:00"
"6473","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 03:07:00"
"6474","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 03:07:00"
"6475","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 03:10:00"
"6476","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 03:11:00"
"6477","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 03:12:00"
"6478","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 03:14:00"
"6479","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 03:16:00"
"6480","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 03:18:00"
"6481","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 03:19:00"
"6482","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 03:22:00"
"6483","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 03:23:00"
"6484","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 03:25:00"
"6485","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 03:25:00"
"6486","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 03:28:00"
"6487","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 03:33:00"
"6488","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 03:36:00"
"6489","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 03:37:00"
"6490","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 03:38:00"
"6491","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 03:39:00"
"6492","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 03:41:00"
"6493","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 03:42:00"
"6494","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 03:43:00"
"6495","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 03:45:00"
"6496","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 03:47:00"
"6497","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 03:47:00"
"6498","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 03:49:00"
"6499","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 03:49:00"
"6500","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 03:51:00"
"6501","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 03:52:00"
"6502","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 03:53:00"
"6503","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 03:54:00"
"6504","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 03:57:00"
"6505","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 03:58:00"
"6506","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 04:01:00"
"6507","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 04:01:00"
"6508","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 04:02:00"
"6509","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 04:03:00"
"6510","aquaHub-660273","9001-43149","Male",165,2025-09-20,"2025-09-20 04:03:00"
"6511","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 04:04:00"
